poll_ID,author_ID,title,option,topic
0,7,Which programming language is your favorite?,Python|Java|JavaScript|C++|Ruby,Tech
1,9,What's your preferred smartphone brand?,Apple|Samsung|Google|OnePlus|Xiaomi,Tech
2,5,How often do you upgrade your computer?,Every year|Every 2 years|Every 3 years|Rarely,Tech
3,7,Which tech gadget can't you live without?,Smartphone|Laptop|Smartwatch|Tablet,Tech
4,6,Are you excited about the upcoming VR technologies?,Yes|No|Maybe,Tech
5,3,Do you use a password manager for online security?,Yes|No|Sometimes,Tech
6,2,What's your opinion on AI replacing human jobs?,Positive|Negative|Neutral,Tech
7,1,How many hours a day do you spend on the internet?,Less than 2 hours|2-4 hours|4-6 hours|More than 6 hours,Tech
8,7,Which operating system do you use the most?,Windows|macOS|Linux|Other,Tech
9,7,Do you think cryptocurrency is the future of finance?,Yes|No|It's complicated,Tech
10,10,Which sport do you enjoy the most?,Soccer|Basketball|Tennis|Cricket|Baseball,Sport
11,6,What's your favorite Olympic event?,Swimming|Gymnastics|Track and Field|Diving|Cycling,Sport
12,6,Do you prefer team sports or individual sports?,Team sports|Individual sports,Sport
13,2,Who is your all-time favorite athlete?,Michael Jordan|Serena Williams|Usain Bolt|Cristiano Ronaldo|Simone Biles,Sport
14,8,Which sports league do you follow the closest?,NFL|NBA|Premier League|MLB|La Liga,Sport
15,1,Have you ever participated in a marathon?,Yes|No,Sport
16,10,What's your opinion on esports?,Love it|Don't understand it|Indifferent,Sport|Tech
17,0,Should sports be compulsory in schools?,Yes|No,Sport
18,1,Do you enjoy watching the Olympics?,Yes|No|Depends on the events,Sport
19,9,What's the most exciting sports moment you've witnessed?,Last-minute goal|Buzzer-beater shot|World record broken,Sport
20,1,Should taxes be increased for the wealthy?,Yes|No,Politics
21,5,What is your opinion on healthcare reform?,Support|Oppose|Neutral,Politics
22,3,Is climate change a top priority for the government?,Yes|No,Politics
23,8,Should there be stricter regulations on social media?,Agree|Disagree|Undecided,Politics
24,4,Do you believe in term limits for politicians?,Yes|No,Politics
25,4,Is foreign aid beneficial for diplomatic relations?,Beneficial|Not beneficial|Depends,Politics
26,6,Should the voting age be lowered to 16?,Yes|No,Politics
27,4,Do you think campaign finance laws need reform?,Strongly agree|Somewhat agree|Neutral|Somewhat disagree|Strongly disagree,Politics
28,4,Is the current immigration system effective?,Effective|Ineffective|Needs improvement,Politics
29,2,Should the government invest more in renewable energy?,Yes|No,Politics
30,6,Which branch of science interests you the most?,Physics|Biology|Chemistry|Astronomy|Earth Science|Psychology|Computer Science|Mathematics,Science
31,8,Do you believe in the multiverse theory?,Yes|No,Science
32,5,What is the most fascinating scientific discovery of the last decade?,CRISPR-Cas9 gene editing|Gravitational waves|Exoplanets|Higgs boson|Dark matter|Quantum supremacy|Human genome mapping|Artificial intelligence advancements,Science
33,3,How do you feel about the recent advancements in AI and machine learning?,Excited|Concerned|Indifferent,Science|Tech
34,8,Which area of climate science should receive more attention?,Climate modeling|Renewable energy|Ocean acidification|Deforestation|Polar ice melting|Extreme weather patterns,Science
35,0,Do you think string theory will eventually unify all forces in physics?,Yes|No|Unsure,Science
36,5,What's your opinion on the use of genetically modified organisms (GMOs) in agriculture?,Supportive|Skeptical|Against,Science
37,10,Should space exploration be a top priority for humanity's future?,Absolutely|It's important but not top priority|No|Not sure,Science
38,2,Which scientific concept do you find the hardest to wrap your head around?,Quantum entanglement|Theory of relativity|Black holes|Parallel universes|Wave-particle duality,Science
39,3,What's your stance on the ethical implications of human cloning?,Supportive for medical purposes|Against under any circumstances|Open to certain applications,Science
